date	palestinian	security	minister	netanyahu	jerusalem	year	state	prime	military	people	president	gaza	west	benjamin	violence	attack	bank	peace	jewish	day	deal	statement	group	wednesday	news	time	home	fire	city	foreign	government	aviv	tel	east	thursday	police	war	media	dead	afp
180216	5	6	3	0	6	4	3	0	3	1	2	0	3	0	3	3	3	0	2	2	0	2	0	4	2	0	1	3	3	0	0	0	0	0	5	6	2	3	0	1	
190216	6	5	0	0	5	6	6	0	2	4	0	1	6	0	6	1	6	6	0	0	0	1	2	0	0	1	0	3	4	0	0	0	0	1	6	6	1	5	6	1	
200216	0	0	0	0	2	2	1	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	3	0	1	2	1	3	1	0	0	3	3	0	1	0	4	0	2	1	
210216	7	7	3	4	9	7	1	3	4	4	0	1	7	3	6	4	7	2	3	3	0	0	3	0	3	7	1	4	5	0	0	1	1	3	1	5	2	2	8	3	
220216	0	2	0	1	1	1	1	0	1	3	0	0	0	0	1	1	0	0	2	0	2	1	1	0	2	1	2	0	0	1	2	0	0	0	0	2	3	1	2	3	
230216	4	1	2	2	3	1	2	2	2	4	0	0	4	2	4	0	4	1	1	4	0	1	3	1	0	0	4	3	1	0	0	4	4	0	0	0	1	0	3	1	
240216	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	1	1	1	1	0	
250216	5	2	0	0	1	3	3	0	2	3	3	0	0	0	0	1	0	2	1	2	4	0	1	2	1	1	2	0	1	1	2	0	0	0	2	1	2	2	1	2	
260216	20	11	7	4	8	12	9	7	1	4	11	10	9	2	7	1	9	4	8	12	12	11	6	2	8	5	9	3	7	4	2	0	0	6	8	9	1	7	6	6	
270216	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
280216	1	4	7	7	4	2	7	7	4	6	7	0	0	5	0	4	0	7	3	2	1	4	4	5	4	6	7	5	0	4	0	1	1	0	3	1	3	5	2	6	
290216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010316	20	7	7	0	17	12	0	0	17	7	0	0	17	0	13	4	17	1	8	1	0	4	1	0	9	6	4	10	6	2	1	3	3	5	0	9	2	3	13	5	
020316	1	1	0	0	1	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	
030316	1	4	1	1	2	1	1	1	0	1	2	0	1	0	1	0	1	1	3	1	1	0	0	1	2	1	2	0	0	0	1	0	0	0	4	3	0	0	1	2	
040316	5	4	3	3	3	1	3	3	2	1	4	0	4	3	4	5	4	3	2	4	0	1	1	0	1	1	1	0	1	0	0	0	0	5	0	2	0	4	5	1	
050316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
060316	1	1	3	3	1	1	1	2	2	1	4	1	2	2	1	1	2	1	0	1	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
070316	0	0	2	4	2	1	1	2	0	1	4	0	2	1	0	0	1	0	1	4	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	
080316	47	40	25	35	45	32	26	23	15	22	45	8	27	22	20	25	26	27	21	28	19	23	18	10	22	24	4	16	19	3	14	29	29	22	4	30	5	22	19	15	
090316	18	32	30	31	38	24	32	26	29	26	43	0	16	24	14	14	9	11	2	17	37	6	8	42	27	16	9	19	11	13	7	16	16	19	1	13	14	20	9	9	
100316	0	2	0	0	1	2	2	0	1	0	1	0	1	0	0	1	0	0	1	0	1	1	1	2	2	0	1	0	0	2	1	0	0	1	0	1	0	0	1	1	
110316	8	10	4	2	10	12	4	4	5	6	2	7	7	2	7	3	7	1	8	8	0	13	5	0	3	4	6	4	11	2	7	0	0	1	2	5	11	9	2	10	
120316	13	8	6	4	7	16	1	4	12	5	1	14	3	4	2	2	4	0	1	2	3	10	6	2	3	1	11	8	7	4	2	0	0	0	1	1	9	1	3	5	
130316	0	10	7	7	7	7	7	6	1	2	4	1	0	6	1	5	0	1	3	2	8	3	2	3	7	1	3	1	2	10	0	0	0	0	2	4	0	2	3	4	
140316	6	8	3	1	10	4	6	0	7	2	4	2	6	0	6	5	6	4	7	1	3	2	0	2	8	1	6	10	5	1	1	0	0	2	0	7	1	3	7	6	
150316	0	5	3	3	4	5	2	2	3	1	5	0	0	2	0	1	0	1	3	1	1	1	1	2	4	2	2	2	0	2	3	0	0	0	0	3	3	0	0	3	
160316	0	1	1	1	0	1	2	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	
170316	8	12	11	11	12	8	14	11	12	10	3	2	4	5	4	7	4	5	12	2	2	7	2	2	4	2	4	1	2	4	5	2	2	3	14	1	9	6	4	5	
180316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
190316	1	1	6	3	5	3	5	3	0	6	3	1	2	3	1	6	1	1	2	0	0	1	6	0	0	0	4	0	0	3	6	0	0	0	0	3	0	6	3	4	
200316	2	4	5	4	5	8	7	4	4	9	4	3	0	4	2	6	0	2	3	6	3	1	5	0	5	2	2	0	7	6	3	5	5	2	0	4	0	2	1	1	
210316	39	44	22	19	32	34	56	21	15	42	57	10	6	17	30	21	5	44	61	30	43	18	47	33	18	29	4	5	17	45	22	23	23	37	0	1	24	9	1	14	
220316	3	6	4	2	3	2	7	3	2	4	8	0	0	1	3	3	0	5	7	3	4	1	5	5	4	4	2	3	3	5	1	2	2	6	0	1	2	2	0	0	
230316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
240316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
250316	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	
260316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
270316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
280316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
290316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
300316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
310316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
020416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
030416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040416	2	2	0	0	2	2	0	0	1	0	0	0	2	0	1	2	2	0	0	0	0	1	0	0	0	0	2	2	2	0	0	0	0	1	0	1	0	0	1	0	
050416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
060416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
070416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
080416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
090416	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	
100416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
110416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
120416	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	
130416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
140416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
150416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
160416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
170416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
180416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
190416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
200416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
210416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
220416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
230416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
240416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
250416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
260416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
270416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
280416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
290416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
300416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
010516	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	
020516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
030516	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040516	3	3	3	3	0	1	2	3	3	1	1	3	0	2	3	1	0	2	4	6	1	4	3	5	2	0	1	3	2	0	0	1	1	2	1	1	3	1	0	3	
050516	52	42	34	29	16	29	15	30	54	26	4	61	6	27	39	28	6	12	20	49	5	31	27	38	18	15	16	42	30	5	12	4	4	18	56	6	44	22	16	19	
060516	12	9	9	8	2	9	5	8	11	6	0	14	0	8	8	7	0	1	3	11	0	10	4	8	2	4	9	13	7	0	2	1	1	5	13	0	12	9	7	5	
070516	4	2	3	0	1	3	4	1	4	4	0	4	0	0	2	3	0	2	3	5	0	3	4	2	0	2	2	4	3	1	5	0	0	2	5	0	3	2	2	5	
080516	0	1	1	0	0	1	0	1	0	3	1	0	0	0	0	0	0	0	3	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	
090516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
100516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
110516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
120516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
130516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
140516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
150516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
160516	2	2	0	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	
170516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
180516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
190516	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	2	2	0	2	0	0	0	0	0	
200516	23	19	41	41	25	8	23	38	21	0	16	4	17	38	11	2	17	20	22	2	13	15	3	5	9	18	17	3	5	35	35	16	16	4	17	0	9	3	7	5	
210516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
220516	1	1	2	2	4	2	2	1	0	1	2	2	0	1	0	0	0	2	2	0	1	4	0	0	1	0	2	1	3	5	4	0	0	1	0	0	0	0	0	0	
230516	3	0	4	4	2	0	3	4	0	0	3	0	2	4	0	2	2	4	2	2	2	0	0	0	0	2	0	0	0	2	3	0	0	2	0	0	0	0	0	3	
240516	3	2	0	0	1	2	0	0	4	0	0	2	4	0	1	1	4	0	0	0	0	1	4	4	1	1	0	0	1	1	0	1	1	0	0	4	1	0	0	2	
250516	33	23	36	42	22	17	19	29	25	3	8	24	31	29	3	1	30	34	12	17	30	4	10	32	8	12	15	5	3	23	36	2	2	9	1	3	11	2	5	10	
260516	2	3	3	3	1	1	3	3	2	1	1	2	2	2	0	0	2	3	1	2	2	1	1	2	0	0	2	0	0	2	3	0	0	1	0	0	1	0	0	0	
270516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
280516	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
290516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
300516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
310516	1	1	1	1	1	2	1	0	1	1	0	1	0	0	0	1	0	2	2	0	1	0	1	0	2	0	2	0	1	0	1	1	1	0	0	1	1	2	1	2	
010616	6	9	1	3	8	6	1	0	0	6	0	0	6	0	0	4	6	2	11	0	2	1	4	8	4	5	9	2	2	0	1	1	1	0	2	3	1	0	4	4	
020616	7	5	5	7	4	2	3	5	1	2	4	2	1	3	2	2	1	4	5	3	2	0	4	0	4	3	4	1	0	4	4	1	1	4	4	2	3	1	0	3	
030616	28	17	23	21	12	23	28	22	2	8	21	13	18	19	20	3	17	28	11	10	12	15	6	2	5	13	2	1	4	23	8	0	0	21	10	3	6	5	9	15	
040616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
050616	4	6	0	0	1	8	3	0	3	2	2	6	0	0	2	3	0	0	2	2	0	2	4	2	4	1	3	1	1	1	1	2	2	3	2	4	3	0	0	1	
060616	1	2	1	2	2	1	1	1	1	1	2	0	1	0	0	2	1	1	3	1	0	0	0	0	2	1	2	0	0	0	1	0	0	1	0	0	1	1	0	1	
070616	0	1	1	0	0	2	0	1	1	0	1	1	0	0	0	0	0	0	2	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	2	1	0	1	
080616	16	14	11	11	7	10	6	11	8	19	3	3	9	11	12	20	9	3	3	4	0	9	5	16	3	11	2	15	7	3	2	21	21	3	3	16	1	6	5	3	
090616	55	45	40	38	38	17	10	35	41	56	23	47	55	35	43	59	55	20	5	24	2	38	28	49	16	15	28	39	32	4	18	61	61	20	47	46	17	17	25	15	
100616	2	1	0	0	2	1	0	0	0	1	1	1	1	0	1	1	1	2	2	2	0	0	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	2	
110616	1	0	1	1	1	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	
120616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
130616	15	15	15	0	0	15	15	15	0	16	16	0	0	0	15	16	1	15	0	15	1	16	16	15	15	15	15	15	15	15	15	15	15	0	12	15	2	16	15	1	
140616	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	
150616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
160616	0	3	0	2	0	2	3	0	2	2	0	0	1	0	1	1	0	0	1	2	0	1	3	1	3	0	2	1	0	1	1	0	0	0	2	2	1	1	1	2	
170616	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	
180616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
190616	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
200616	3	3	4	4	5	4	4	3	2	3	1	1	3	3	2	1	3	4	4	1	2	6	3	1	2	6	1	2	0	0	1	3	3	6	1	1	3	3	3	1	
210616	20	11	8	7	17	18	4	7	19	13	6	4	20	7	12	19	20	5	3	2	0	14	12	0	10	8	15	17	9	7	1	18	18	4	0	5	9	15	15	7	
220616	2	1	1	2	0	0	2	1	2	1	1	1	0	1	0	1	0	1	2	1	2	0	1	1	2	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	
230616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
240616	1	1	2	1	0	1	2	2	0	3	1	0	1	1	0	0	1	0	2	2	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	3	
250616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
260616	15	13	14	20	10	10	11	13	13	9	17	26	4	11	3	5	1	3	0	6	17	2	6	2	4	2	1	2	4	11	12	7	7	5	0	3	9	7	1	1	
270616	26	23	46	52	17	17	29	45	27	13	35	70	8	31	4	8	4	6	4	6	59	16	14	3	18	16	6	4	3	14	18	17	16	18	0	4	8	6	8	11	
280616	17	13	18	9	11	11	12	11	7	15	6	19	9	6	4	9	6	6	6	9	19	3	11	4	8	10	7	8	8	14	9	4	4	4	1	10	5	8	4	1	
290616	0	1	1	0	1	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	
300616	29	29	18	19	20	25	18	18	18	16	4	15	28	17	24	21	27	19	20	3	8	11	1	1	7	14	27	7	18	1	7	17	17	9	23	8	3	13	14	9	
010716	28	19	14	16	19	19	21	13	15	7	6	11	25	13	24	10	25	17	10	9	7	7	7	0	8	6	12	10	13	3	4	2	2	18	16	12	8	7	10	7	
